Name #1,Name #2,Event,Type,Date (Year)
N'antinein,Cris Kotzen,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
MC Maik,Sizyphos,DLTLLY RapBattle (Mayhem2,Rap Battle,2017
T-Way,Merlin,DLTLLY RapBattle (München),Rap Battle,2017
Schote,Jack Dragon,DLTLLY RapBattle (München),Rap Battle,2017
Karma,BDad,DLTLLY RapBattle (München),Rap Battle,2017
Change19,Schalle,DLTLLY RapBattle (München),Rap Battle,2017
Wolle Der Grobe,Balavababa,DLTLLY NewcomerBattle (München),Rap Battle,2017
Mars B.,Yarambo,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
DuFF,Doktor Dave,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
VT,Vyrus,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Tobi Nice,Notyzze,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Barracuda,Mavgic,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Fabiga,Four Seven,DLTLLY RapBattle (NRWeekend,Rap Battle,2017
Henrey,N'antinein,DLTLLY RapBattle (Tapefabrik,Rap Battle,2017
Robscure,Merlin,DLTLLY RapBattle (Berlin),Rap Battle,2017
Tommy2Late,Hörsturz,DLTLLY RapBattle (Berlin),Rap Battle,2017
Rino Mandingo,Cris Kotzen,DLTLLY RapBattle (Berlin),Rap Battle,2017
Sizyphos,Akanoo,DLTLLY RapBattle (Berlin),Rap Battle,2017
Robscure,Mars B.,DLTLLY RapBattle (Kassel),Rap Battle,2017
Lamin,Papa TR,DLTLLY RapBattle (Kassel),Rap Battle,2017
MC Maik,Bauda,DLTLLY RapBattle (Kassel),Rap Battle,2017
Olio,CPE,DLTLLY RapBattle (Kassel),Rap Battle,2017
VT,ShaoLum,DLTLLY RapBattle (Kassel),Rap Battle,2017
Crocodile Andi,Teach,DLTLLY RapBattle (Kassel),Rap Battle,2017
Davie Jones,Clepto,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Paperbite,D-OS,DLTLLY NewcomerBattle (Kassel),Rap Battle,2017
Doktor Dave,Mave,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Papi Schlauch,Lyrico,DLTLLY RapBattle (Dissember,Rap Battle,2016
Louis Beton,Sizyphos,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Stock,Reinicken + Bossom,DLTLLY RapBattle (Leipzig),Rap Battle,2016
Raptor Warhurst,Unanymous,DLTLLY RapBattle (Dissember,Rap Battle,2016
T-Way,JerMc,DLTLLY RapBattle (Dissember,Rap Battle,2016
Karma,Henrey,DLTLLY RapBattle (Dissember,Rap Battle,2016
Tobi High & Max Stoned,CPE & Ekhead,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Yarambo,N'antinein,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Akanoo,Mr. Whyte,DLTLLY RapBattle (3x in die Fresse,Rap Battle,2016
Change19,BX,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Gixtah,Street,DLTLLY NewcomerBattle (3x in die Fresse,Rap Battle,2016
Barracuda,Schalle,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Nicht Dein Typ,Tommy2Late,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
Vyrus,Four Seven,DLTLLY RapBattle (Stuttgart),Rap Battle,2016
